type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],elastance_2[SI],eta[SI],res_start[SI],res_end[SI]
vis,A52,Femoral,n15,n16,4.975e-03,3.635e-03,6.141e-04,4.487e-04,3.600e-01,51,6.385e+05,2.899e+06,1.300e+04,0.000e+00,0.000e+00
vis,A47,Deepfemoral,n18,p12,3.827e-03,3.540e-03,4.724e-04,4.369e-04,1.024e-01,14,6.937e+05,3.137e+06,1.300e+04,0.000e+00,0.000e+00
vis,A53,Deepfemoral,n15,p8,3.827e-03,3.540e-03,4.724e-04,4.369e-04,1.024e-01,14,6.937e+05,3.137e+06,1.300e+04,0.000e+00,0.000e+00
vis,A48,Posteriortibial,n19,p13,2.966e-03,2.679e-03,3.661e-04,3.307e-04,2.608e-01,32,8.119e+05,3.693e+06,1.300e+04,0.000e+00,0.000e+00
vis,A54,Posteriortibial,n16,p10,2.966e-03,2.679e-03,3.661e-04,3.307e-04,2.608e-01,32,8.119e+05,3.693e+06,1.300e+04,0.000e+00,0.000e+00
vis,A49,Anteriortibial,n19,p14,2.487e-03,2.200e-03,3.070e-04,2.716e-04,2.787e-01,33,9.144e+05,4.150e+06,1.300e+04,0.000e+00,0.000e+00
vis,A55,Anteriortibial,n16,p9,2.487e-03,2.200e-03,3.070e-04,2.716e-04,2.787e-01,33,9.144e+05,4.150e+06,1.300e+04,0.000e+00,0.000e+00
vis,A56,Basilarartery2,n31,n50,3.222e-03,2.899e-03,4.908e-04,4.417e-04,2.456e-02,5,9.275e+05,2.646e+06,1.300e+04,0.000e+00,0.000e+00
vis,A57,Superiorcerebellar,n50,p35,1.369e-03,1.128e-03,2.086e-04,1.718e-04,1.228e-02,5,1.609e+06,4.598e+06,1.300e+04,0.000e+00,0.000e+00
vis,A58,Superiorcerebellar,n50,p34,1.369e-03,1.128e-03,2.086e-04,1.718e-04,1.228e-02,5,1.609e+06,4.598e+06,1.300e+04,0.000e+00,0.000e+00
vis,A59,Basilarartery1,n50,n49,2.497e-03,2.175e-03,3.803e-04,3.313e-04,6.139e-03,5,1.097e+06,3.109e+06,1.300e+04,0.000e+00,0.000e+00
vis,A60,Post.cerebral1,n49,n47,1.530e-03,1.530e-03,2.331e-04,2.331e-04,2.456e-03,5,1.410e+06,4.035e+06,1.300e+04,0.000e+00,0.000e+00
vis,A61,Post.cerebral1,n49,n48,1.530e-03,1.530e-03,2.331e-04,2.331e-04,2.456e-03,5,1.410e+06,4.035e+06,1.300e+04,0.000e+00,0.000e+00
vis,A62,Post.communicating,n47,n45,9.665e-04,9.665e-04,1.472e-04,1.472e-04,4.912e-03,5,1.891e+06,5.391e+06,1.300e+04,0.000e+00,0.000e+00
vis,A63,Post.communicating,n48,n38,9.665e-04,9.665e-04,1.472e-04,1.472e-04,4.912e-03,5,1.891e+06,5.391e+06,1.300e+04,0.000e+00,0.000e+00
vis,A64,Post.cerebral2,n47,p36,1.611e-03,1.450e-03,2.454e-04,2.208e-04,7.245e-02,5,1.421e+06,4.035e+06,1.300e+04,0.000e+00,0.000e+00
vis,A65,Post.cerebral2,n48,p33,1.611e-03,1.450e-03,2.454e-04,2.208e-04,7.245e-02,5,1.421e+06,4.035e+06,1.300e+04,0.000e+00,0.000e+00
vis,A66,ICAdistalPCo–ant.chor.seg.,n45,n44,3.141e-03,3.061e-03,4.785e-04,4.662e-04,2.456e-03,5,9.192e+05,2.613e+06,1.300e+04,0.000e+00,0.000e+00
vis,A67,ICAdistalPCo–ant.chor.seg.,n38,n39,3.141e-03,3.061e-03,4.785e-04,4.662e-04,2.456e-03,5,9.192e+05,2.613e+06,1.300e+04,0.000e+00,0.000e+00
vis,A68,Ant.cerebral1,n43,n42,1.691e-03,1.611e-03,2.576e-04,2.454e-04,1.473e-02,5,1.347e+06,3.837e+06,1.300e+04,0.000e+00,0.000e+00
vis,A69,Ant.cerebral1,n40,n41,1.691e-03,1.611e-03,2.576e-04,2.454e-04,1.473e-02,5,1.347e+06,3.837e+06,1.300e+04,0.000e+00,0.000e+00
vis,A70,MiddlecerebralM1,n43,n36,2.416e-03,2.255e-03,3.681e-04,3.435e-04,9.823e-03,5,1.086e+06,3.109e+06,1.300e+04,0.000e+00,0.000e+00
vis,A73,MiddlecerebralM1,n40,n30,2.416e-03,2.255e-03,3.681e-04,3.435e-04,9.823e-03,5,1.086e+06,3.109e+06,1.300e+04,0.000e+00,0.000e+00
vis,A71,MCAM2sup.fr.cist.sylvianbif.,n36,p39,1.611e-03,8.054e-04,2.454e-04,1.227e-04,8.718e-02,6,1.723e+06,4.928e+06,1.300e+04,0.000e+00,0.000e+00
vis,A74,MCAM2sup.fr.cist.sylvianbif.,n30,p30,1.611e-03,8.054e-04,2.454e-04,1.227e-04,8.718e-02,6,1.723e+06,4.928e+06,1.300e+04,0.000e+00,0.000e+00
vis,A72,MCAM2inf.br.dist.sylvianbif.,n36,p40,1.611e-03,8.054e-04,2.454e-04,1.227e-04,8.595e-02,6,1.723e+06,4.928e+06,1.300e+04,0.000e+00,0.000e+00
vis,A75,MCAM2inf.br.dist.sylvianbif.,n30,p29,1.611e-03,8.054e-04,2.454e-04,1.227e-04,8.595e-02,6,1.723e+06,4.928e+06,1.300e+04,0.000e+00,0.000e+00
vis,A76,Ant.cerebralA2,n42,p38,1.450e-03,1.369e-03,2.208e-04,2.086e-04,2.947e-02,5,1.494e+06,4.250e+06,1.300e+04,0.000e+00,0.000e+00
vis,A78,Ant.cerebralA2,n41,p31,1.450e-03,1.369e-03,2.208e-04,2.086e-04,2.947e-02,5,1.494e+06,4.250e+06,1.300e+04,0.000e+00,0.000e+00
vis,A77,Ant.communicating,n41,n42,1.047e-03,1.047e-03,1.595e-04,1.595e-04,2.456e-03,5,1.797e+06,5.127e+06,1.300e+04,0.000e+00,0.000e+00
vis,A79,Int.car.sinus,n46,n45,3.463e-03,3.141e-03,5.276e-04,4.785e-04,1.351e-02,5,8.857e+05,2.530e+06,1.300e+04,0.000e+00,0.000e+00
vis,A81,Int.car.sinus,n37,n38,3.463e-03,3.141e-03,5.276e-04,4.785e-04,1.351e-02,5,8.857e+05,2.530e+06,1.300e+04,0.000e+00,0.000e+00
vis,A80,Ophthalmic,n46,p37,8.054e-04,4.027e-04,1.227e-04,6.135e-05,1.351e-02,5,2.705e+06,7.707e+06,1.300e+04,0.000e+00,0.000e+00
vis,A82,Ophthalmic,n37,p32,8.054e-04,4.027e-04,1.227e-04,6.135e-05,1.351e-02,5,2.705e+06,7.707e+06,1.300e+04,0.000e+00,0.000e+00
vis,A83,Externalcarotid2,n33,n34,2.595e-03,2.270e-03,6.021e-04,5.268e-04,9.197e-02,7,9.764e+05,4.403e+06,1.300e+04,0.000e+00,0.000e+00
vis,A85,Externalcarotid2,n27,n28,3.222e-03,2.819e-03,4.908e-04,4.294e-04,7.490e-02,7,9.348e+05,2.663e+06,1.300e+04,0.000e+00,0.000e+00
vis,A84,Sup.thy.asc.ph.lyng.fac.occ.,n33,p44,1.611e-03,8.054e-04,2.454e-04,1.227e-04,1.240e-01,8,1.723e+06,4.928e+06,1.300e+04,0.000e+00,0.000e+00
vis,A86,Sup.thy.asc.ph.lyng.fac.occ.,n27,p25,1.611e-03,8.054e-04,2.454e-04,1.227e-04,1.240e-01,8,1.723e+06,4.928e+06,1.300e+04,0.000e+00,0.000e+00
vis,A87,Superficialtemporal,n34,n35,2.577e-03,2.416e-03,3.926e-04,3.681e-04,7.490e-02,6,1.044e+06,2.977e+06,1.300e+04,0.000e+00,0.000e+00
vis,A89,Superficialtemporal,n28,n29,2.577e-03,2.416e-03,3.926e-04,3.681e-04,7.490e-02,6,1.044e+06,2.977e+06,1.300e+04,0.000e+00,0.000e+00
vis,A88,Maxillary,n34,p43,1.772e-03,8.054e-04,2.699e-04,1.227e-04,1.117e-01,7,1.682e+06,4.796e+06,1.300e+04,0.000e+00,0.000e+00
vis,A90,Maxillary,n28,p26,1.772e-03,8.054e-04,2.699e-04,1.227e-04,1.117e-01,7,1.682e+06,4.796e+06,1.300e+04,0.000e+00,0.000e+00
vis,A91,Superficialtemporalfrontalbr.,n35,p41,1.772e-03,1.128e-03,2.699e-04,1.718e-04,1.228e-01,9,1.494e+06,4.267e+06,1.300e+04,0.000e+00,0.000e+00
vis,A93,Superficialtemporalfrontalbr.,n29,p28,2.200e-03,1.400e-03,2.200e-04,1.400e-04,1.000e-01,9,1.430e+06,2.580e+06,1.300e+04,0.000e+00,0.000e+00
vis,A92,Superficialtemporalparietalbr.,n35,p42,1.772e-03,1.128e-03,2.699e-04,1.718e-04,1.240e-01,9,1.494e+06,4.267e+06,1.300e+04,0.000e+00,0.000e+00
vis,A94,Superficialtemporalparietalbr.,n29,p27,1.772e-03,1.128e-03,2.699e-04,1.718e-04,1.240e-01,9,1.494e+06,4.267e+06,1.300e+04,0.000e+00,0.000e+00
vis,A95,Ascendingaorta2,n1,n2,2.462e-02,2.420e-02,3.350e-03,3.293e-03,2.886e-02,7,2.064e+05,1.055e+06,1.300e+04,0.000e+00,0.000e+00
vis,A100,Ant.choroidal,n44,p45,1.208e-03,1.047e-03,1.840e-04,1.595e-04,4.420e-02,5,1.713e+06,4.895e+06,1.300e+04,0.000e+00,0.000e+00
vis,A102,Ant.choroidal,n39,p46,1.208e-03,1.047e-03,1.840e-04,1.595e-04,4.420e-02,5,1.713e+06,4.895e+06,1.300e+04,0.000e+00,0.000e+00
vis,A101,ICAdistalcnt.chor.–M1seg.,n44,n43,3.061e-03,3.061e-03,4.662e-04,4.662e-04,2.456e-03,5,9.265e+05,2.646e+06,1.300e+04,0.000e+00,0.000e+00
vis,A103,ICAdistalcnt.chor.–M1seg.,n39,n40,3.061e-03,3.061e-03,4.662e-04,4.662e-04,2.456e-03,5,9.265e+05,2.646e+06,1.300e+04,0.000e+00,0.000e+00

type,ID,name,valami,parameter,file name
heart,H,0,P,
node,n1,0,4.270e+10
node,n2,0,4.270e+10
node,n3,0,4.270e+10
node,n4,0,4.270e+10
node,n5,0,4.270e+10
node,n6,0,1.059e+12
node,n7,0,1.059e+12
node,n8,0,1.059e+12
node,n9,0,1.059e+12
node,n10,0,1.059e+12
node,n11,0,1.059e+12
node,n12,0,1.059e+12
node,n13,0,1.475e+12
node,n14,0,2.279e+11
node,n15,0,2.279e+11
node,n16,0,2.279e+11
node,n17,0,2.279e+11
node,n18,0,2.279e+11
node,n19,0,2.279e+11
node,n20,0,1.475e+12
node,n21,0,1.475e+12
node,n22,0,1.475e+12
node,n23,0,1.475e+12
node,n24,0,1.475e+12
node,n25,0,1.475e+12
node,n26,0,4.648e+10
node,n27,0,4.648e+10
node,n28,0,4.648e+10
node,n29,0,4.648e+10
node,n30,0,4.648e+10
node,n31,0,4.648e+10
node,n32,0,4.648e+10
node,n33,0,4.648e+10
node,n34,0,4.648e+10
node,n35,0,4.648e+10
node,n36,0,4.648e+10
node,n37,0,4.648e+10
node,n38,0,4.648e+10
node,n39,0,4.648e+10
node,n40,0,4.648e+10
node,n41,0,4.648e+10
node,n42,0,4.648e+10
node,n43,0,4.648e+10
node,n44,0,4.648e+10
node,n45,0,4.648e+10
node,n46,0,4.648e+10
node,n47,0,4.648e+10
node,n48,0,4.648e+10
node,n49,0,4.648e+10
node,n50,0,4.648e+10
node,n51,0,1.475e+12
node,n52,0,1.475e+12
perif,p4,0
perif,p5,0
perif,p6,0
perif,p7,0
perif,p8,0
perif,p9,0
perif,p10,0
perif,p11,0
perif,p12,0
perif,p13,0
perif,p14,0
perif,p15,0
perif,p16,0
perif,p17,0
perif,p18,0
perif,p19,0
perif,p20,0
perif,p21,0
perif,p22,0
perif,p23,0
perif,p24,0
perif,p25,0
perif,p26,0
perif,p27,0
perif,p28,0
perif,p29,0
perif,p30,0
perif,p31,0
perif,p32,0
perif,p33,0
perif,p34,0
perif,p35,0
perif,p36,0
perif,p37,0
perif,p38,0
perif,p39,0
perif,p40,0
perif,p41,0
perif,p42,0
perif,p43,0
perif,p44,0
perif,p45,0
perif,p46,0
perif,p47,0

