type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],elastance_2[SI],eta[SI],res_start[SI],res_end[SI]
vis,A9,UlnarA,n8,n9,3.074e-03,2.825e-03,4.463e-04,4.101e-04,5.836e-02,7,7.110e+05,3.114e+06,1.300e+04,0.000e+00,0.000e+00
vis,A23,UlnarA,n11,n12,3.573e-03,3.573e-03,5.187e-04,5.187e-04,5.836e-02,8,6.341e+05,2.776e+06,1.300e+04,0.000e+00,0.000e+00
vis,A10,Interosseous,n9,p5,1.745e-03,1.496e-03,2.533e-04,2.171e-04,6.881e-02,7,1.031e+06,4.502e+06,1.300e+04,0.000e+00,0.000e+00
vis,A24,Interosseous,n12,p16,1.496e-03,1.496e-03,2.171e-04,2.171e-04,6.881e-02,7,1.077e+06,4.727e+06,1.300e+04,0.000e+00,0.000e+00
vis,A11,UlnarB,n9,p6,2.659e-03,2.327e-03,3.860e-04,3.377e-04,1.489e-01,17,7.849e+05,3.452e+06,1.300e+04,0.000e+00,0.000e+00
vis,A25,UlnarB,n12,p15,3.407e-03,3.074e-03,4.945e-04,4.463e-04,1.489e-01,19,6.725e+05,2.945e+06,1.300e+04,0.000e+00,0.000e+00
vis,A12,Internalcarotid,n32,n46,4.766e-03,3.595e-03,5.176e-04,3.905e-04,1.443e-01,21,1.392e+06,1.866e+06,1.300e+04,0.000e+00,0.000e+00
vis,A16,Internalcarotid,n26,n37,4.431e-03,3.428e-03,4.813e-04,3.723e-04,1.443e-01,21,1.441e+06,1.934e+06,1.300e+04,0.000e+00,0.000e+00
vis,A17,Externalcarotid1,n26,n27,3.930e-03,3.595e-03,4.268e-04,3.905e-04,3.323e-02,5,1.471e+06,1.974e+06,1.300e+04,0.000e+00,0.000e+00
vis,A14,AorticarchB,n3,n4,1.896e-02,1.843e-02,1.986e-03,1.930e-03,3.273e-02,7,3.827e+05,1.016e+06,1.300e+04,0.000e+00,0.000e+00
vis,A18,ThoracicaortaA,n4,n51,1.772e-02,1.675e-02,1.856e-03,1.754e-03,4.364e-02,9,3.994e+05,1.061e+06,1.300e+04,0.000e+00,0.000e+00
vis,A26,Intercostals,n51,p47,1.116e-02,8.418e-03,1.169e-03,8.816e-04,6.714e-02,12,5.406e+05,1.437e+06,1.300e+04,0.000e+00,0.000e+00
vis,A27,ThoracicaortaB,n51,n52,1.462e-02,1.143e-02,1.531e-03,1.197e-03,8.728e-02,17,4.639e+05,1.231e+06,1.300e+04,0.000e+00,0.000e+00
vis,A28,AbdominalaortaA,n52,n22,1.081e-02,1.081e-02,1.132e-03,1.132e-03,4.448e-02,8,5.095e+05,1.353e+06,1.300e+04,0.000e+00,0.000e+00
vis,A29,CeliacA,n52,n20,6.912e-03,6.114e-03,7.238e-04,6.403e-04,1.678e-02,5,6.741e+05,1.790e+06,1.300e+04,0.000e+00,0.000e+00
vis,A30,CeliacB,n20,n21,4.608e-03,4.342e-03,4.826e-04,4.547e-04,1.678e-02,5,8.343e+05,2.217e+06,1.300e+04,0.000e+00,0.000e+00
vis,A31,Hepatic,n21,p18,4.785e-03,3.899e-03,5.011e-04,4.083e-04,5.539e-02,8,8.532e+05,2.266e+06,1.300e+04,0.000e+00,0.000e+00
vis,A32,Gastric,n20,p19,2.836e-03,2.658e-03,2.970e-04,2.784e-04,5.958e-02,7,1.112e+06,2.955e+06,1.300e+04,0.000e+00,0.000e+00
vis,A33,Splenic,n21,p20,3.722e-03,3.456e-03,3.898e-04,3.619e-04,5.287e-02,7,9.500e+05,2.529e+06,1.300e+04,0.000e+00,0.000e+00
vis,A34,Superiormesenteric,n22,p22,7.000e-03,6.291e-03,7.331e-04,6.589e-04,4.951e-02,8,6.663e+05,1.773e+06,1.300e+04,0.000e+00,0.000e+00
vis,A35,AbdominalaortaB,n22,n23,1.019e-02,1.001e-02,1.067e-03,1.049e-03,1.678e-02,5,5.284e+05,1.402e+06,1.300e+04,0.000e+00,0.000e+00
vis,A36,Renal,n23,p21,4.608e-03,4.608e-03,4.826e-04,4.826e-04,2.685e-02,5,8.198e+05,2.184e+06,1.300e+04,0.000e+00,0.000e+00
vis,A38,Renal,n24,p23,4.608e-03,4.608e-03,4.826e-04,4.826e-04,2.685e-02,5,8.198e+05,2.184e+06,1.300e+04,0.000e+00,0.000e+00
vis,A37,AbdominalaortaC,n23,n24,1.046e-02,1.046e-02,1.095e-03,1.095e-03,1.678e-02,5,5.184e+05,1.378e+06,1.300e+04,0.000e+00,0.000e+00
vis,A39,AbdominalaortaD,n24,n25,1.028e-02,9.747e-03,1.076e-03,1.021e-03,8.896e-02,16,5.306e+05,1.410e+06,1.300e+04,0.000e+00,0.000e+00
vis,A40,Inferiormesenteric,n25,p24,4.165e-03,2.836e-03,4.362e-04,2.970e-04,4.196e-02,5,9.789e+05,2.594e+06,1.300e+04,0.000e+00,0.000e+00
vis,A41,AbdominalaortaE,n25,n13,9.570e-03,9.215e-03,1.002e-03,9.651e-04,1.678e-02,5,5.495e+05,1.460e+06,1.300e+04,0.000e+00,0.000e+00
vis,A42,Commoniliac,n13,n14,6.483e-03,5.744e-03,9.019e-04,7.992e-04,6.858e-02,8,4.875e+05,2.068e+06,1.300e+04,0.000e+00,0.000e+00
vis,A43,Commoniliac,n13,n17,6.483e-03,5.744e-03,9.019e-04,7.992e-04,6.858e-02,8,4.875e+05,2.068e+06,1.300e+04,0.000e+00,0.000e+00
vis,A44,Externaliliac,n17,n18,5.252e-03,5.006e-03,7.307e-04,6.964e-04,1.674e-01,18,5.378e+05,2.278e+06,1.300e+04,0.000e+00,0.000e+00
vis,A50,Externaliliac,n14,n15,5.252e-03,5.006e-03,7.307e-04,6.964e-04,1.674e-01,18,5.378e+05,2.278e+06,1.300e+04,0.000e+00,0.000e+00
vis,A45,Inneriliac,n17,p11,3.282e-03,3.282e-03,4.567e-04,4.567e-04,5.812e-02,6,6.976e+05,2.968e+06,1.300e+04,0.000e+00,0.000e+00
vis,A51,Inneriliac,n14,p7,3.282e-03,3.282e-03,4.567e-04,4.567e-04,5.812e-02,6,6.976e+05,2.968e+06,1.300e+04,0.000e+00,0.000e+00
vis,A46,Femoral,n18,n19,4.267e-03,3.118e-03,5.937e-04,4.338e-04,5.149e-01,51,6.571e+05,2.795e+06,1.300e+04,0.000e+00,0.000e+00
vis,A52,Femoral,n15,n16,4.267e-03,3.118e-03,5.937e-04,4.338e-04,5.149e-01,51,6.571e+05,2.795e+06,1.300e+04,0.000e+00,0.000e+00
vis,A47,Deepfemoral,n18,p12,3.282e-03,3.036e-03,4.567e-04,4.224e-04,1.465e-01,14,7.139e+05,3.025e+06,1.300e+04,0.000e+00,0.000e+00
vis,A53,Deepfemoral,n15,p8,3.282e-03,3.036e-03,4.567e-04,4.224e-04,1.465e-01,14,7.139e+05,3.025e+06,1.300e+04,0.000e+00,0.000e+00
vis,A48,Posteriortibial,n19,p13,2.544e-03,2.298e-03,3.539e-04,3.197e-04,3.731e-01,32,8.355e+05,3.561e+06,1.300e+04,0.000e+00,0.000e+00
vis,A54,Posteriortibial,n16,p10,2.544e-03,2.298e-03,3.539e-04,3.197e-04,3.731e-01,32,8.355e+05,3.561e+06,1.300e+04,0.000e+00,0.000e+00
vis,A49,Anteriortibial,n19,p14,2.134e-03,1.887e-03,2.968e-04,2.626e-04,3.987e-01,33,9.410e+05,4.002e+06,1.300e+04,0.000e+00,0.000e+00
vis,A55,Anteriortibial,n16,p9,2.134e-03,1.887e-03,2.968e-04,2.626e-04,3.987e-01,33,9.410e+05,4.002e+06,1.300e+04,0.000e+00,0.000e+00
vis,A56,Basilarartery2,n31,n50,3.344e-03,3.010e-03,3.632e-04,3.269e-04,1.621e-02,5,1.626e+06,2.179e+06,1.300e+04,0.000e+00,0.000e+00
vis,A57,Superiorcerebellar,n50,p35,1.421e-03,1.171e-03,1.544e-04,1.271e-04,8.104e-03,5,2.820e+06,3.786e+06,1.300e+04,0.000e+00,0.000e+00
vis,A58,Superiorcerebellar,n50,p34,1.421e-03,1.171e-03,1.544e-04,1.271e-04,8.104e-03,5,2.820e+06,3.786e+06,1.300e+04,0.000e+00,0.000e+00
vis,A59,Basilarartery1,n50,n49,2.592e-03,2.257e-03,2.815e-04,2.452e-04,4.052e-03,5,1.923e+06,2.560e+06,1.300e+04,0.000e+00,0.000e+00
vis,A60,Post.cerebral1,n49,n47,1.589e-03,1.589e-03,1.725e-04,1.725e-04,1.621e-03,5,2.472e+06,3.323e+06,1.300e+04,0.000e+00,0.000e+00
vis,A61,Post.cerebral1,n49,n48,1.589e-03,1.589e-03,1.725e-04,1.725e-04,1.621e-03,5,2.472e+06,3.323e+06,1.300e+04,0.000e+00,0.000e+00
vis,A62,Post.communicating,n47,n45,1.003e-03,1.003e-03,1.090e-04,1.090e-04,3.242e-03,5,3.315e+06,4.439e+06,1.300e+04,0.000e+00,0.000e+00
vis,A63,Post.communicating,n48,n38,1.003e-03,1.003e-03,1.090e-04,1.090e-04,3.242e-03,5,3.315e+06,4.439e+06,1.300e+04,0.000e+00,0.000e+00
vis,A64,Post.cerebral2,n47,p36,1.672e-03,1.505e-03,1.816e-04,1.635e-04,4.781e-02,5,2.491e+06,3.323e+06,1.300e+04,0.000e+00,0.000e+00
vis,A65,Post.cerebral2,n48,p33,1.672e-03,1.505e-03,1.816e-04,1.635e-04,4.781e-02,5,2.491e+06,3.323e+06,1.300e+04,0.000e+00,0.000e+00
vis,A66,ICAdistalPCo–ant.chor.seg.,n45,n44,3.261e-03,3.177e-03,3.542e-04,3.451e-04,1.621e-03,5,1.612e+06,2.151e+06,1.300e+04,0.000e+00,0.000e+00
vis,A67,ICAdistalPCo–ant.chor.seg.,n38,n39,3.261e-03,3.177e-03,3.542e-04,3.451e-04,1.621e-03,5,1.612e+06,2.151e+06,1.300e+04,0.000e+00,0.000e+00
vis,A68,Ant.cerebral1,n43,n42,1.756e-03,1.672e-03,1.907e-04,1.816e-04,9.725e-03,5,2.363e+06,3.159e+06,1.300e+04,0.000e+00,0.000e+00
vis,A69,Ant.cerebral1,n40,n41,1.756e-03,1.672e-03,1.907e-04,1.816e-04,9.725e-03,5,2.363e+06,3.159e+06,1.300e+04,0.000e+00,0.000e+00
vis,A70,MiddlecerebralM1,n43,n36,2.508e-03,2.341e-03,2.724e-04,2.543e-04,6.483e-03,5,1.905e+06,2.560e+06,1.300e+04,0.000e+00,0.000e+00
vis,A73,MiddlecerebralM1,n40,n30,2.508e-03,2.341e-03,2.724e-04,2.543e-04,6.483e-03,5,1.905e+06,2.560e+06,1.300e+04,0.000e+00,0.000e+00
vis,A71,MCAM2sup.fr.cist.sylvianbif.,n36,p39,1.672e-03,8.361e-04,1.816e-04,9.081e-05,5.754e-02,6,3.022e+06,4.058e+06,1.300e+04,0.000e+00,0.000e+00
vis,A74,MCAM2sup.fr.cist.sylvianbif.,n30,p30,1.672e-03,8.361e-04,1.816e-04,9.081e-05,5.754e-02,6,3.022e+06,4.058e+06,1.300e+04,0.000e+00,0.000e+00
vis,A72,MCAM2inf.br.dist.sylvianbif.,n36,p40,1.672e-03,8.361e-04,1.816e-04,9.081e-05,5.673e-02,6,3.022e+06,4.058e+06,1.300e+04,0.000e+00,0.000e+00
vis,A75,MCAM2inf.br.dist.sylvianbif.,n30,p29,1.672e-03,8.361e-04,1.816e-04,9.081e-05,5.673e-02,6,3.022e+06,4.058e+06,1.300e+04,0.000e+00,0.000e+00
vis,A76,Ant.cerebralA2,n42,p38,1.505e-03,1.421e-03,1.635e-04,1.544e-04,1.945e-02,5,2.619e+06,3.500e+06,1.300e+04,0.000e+00,0.000e+00
vis,A78,Ant.cerebralA2,n41,p31,1.505e-03,1.421e-03,1.635e-04,1.544e-04,1.945e-02,5,2.619e+06,3.500e+06,1.300e+04,0.000e+00,0.000e+00
vis,A77,Ant.communicating,n41,n42,1.087e-03,1.087e-03,1.181e-04,1.181e-04,1.621e-03,5,3.150e+06,4.221e+06,1.300e+04,0.000e+00,0.000e+00
vis,A79,Int.car.sinus,n46,n45,3.595e-03,3.261e-03,3.905e-04,3.542e-04,8.914e-03,5,1.553e+06,2.083e+06,1.300e+04,0.000e+00,0.000e+00
vis,A81,Int.car.sinus,n37,n38,3.595e-03,3.261e-03,3.905e-04,3.542e-04,8.914e-03,5,1.553e+06,2.083e+06,1.300e+04,0.000e+00,0.000e+00
vis,A80,Ophthalmic,n46,p37,8.361e-04,4.180e-04,9.081e-05,4.541e-05,8.914e-03,5,4.743e+06,6.346e+06,1.300e+04,0.000e+00,0.000e+00
vis,A82,Ophthalmic,n37,p32,8.361e-04,4.180e-04,9.081e-05,4.541e-05,8.914e-03,5,4.743e+06,6.346e+06,1.300e+04,0.000e+00,0.000e+00
vis,A85,Externalcarotid2,n27,n28,3.344e-03,2.926e-03,3.632e-04,3.178e-04,4.943e-02,7,1.639e+06,2.192e+06,1.300e+04,0.000e+00,0.000e+00
vis,A86,Sup.thy.asc.ph.lyng.fac.occ.,n27,p25,1.672e-03,8.361e-04,1.816e-04,9.081e-05,8.185e-02,8,3.022e+06,4.058e+06,1.300e+04,0.000e+00,0.000e+00
vis,A89,Superficialtemporal,n28,n29,2.676e-03,2.508e-03,2.906e-04,2.724e-04,4.943e-02,6,1.831e+06,2.451e+06,1.300e+04,0.000e+00,0.000e+00
vis,A90,Maxillary,n28,p26,1.839e-03,8.361e-04,1.998e-04,9.081e-05,7.375e-02,7,2.949e+06,3.949e+06,1.300e+04,0.000e+00,0.000e+00
vis,A93,Superficialtemporalfrontalbr.,n29,p28,2.200e-03,1.400e-03,2.200e-04,1.400e-04,1.000e-01,9,1.430e+06,2.580e+06,1.300e+04,0.000e+00,0.000e+00
vis,A94,Superficialtemporalparietalbr.,n29,p27,1.839e-03,1.171e-03,1.998e-04,1.271e-04,8.185e-02,9,2.619e+06,3.513e+06,1.300e+04,0.000e+00,0.000e+00
vis,A95,Ascendingaorta2,n1,n2,2.596e-02,2.552e-02,2.719e-03,2.673e-03,2.937e-02,7,3.270e+05,8.686e+05,1.300e+04,0.000e+00,0.000e+00
vis,A100,Ant.choroidal,n44,p45,1.254e-03,1.087e-03,1.362e-04,1.181e-04,2.917e-02,5,3.003e+06,4.031e+06,1.300e+04,0.000e+00,0.000e+00
vis,A102,Ant.choroidal,n39,p46,1.254e-03,1.087e-03,1.362e-04,1.181e-04,2.917e-02,5,3.003e+06,4.031e+06,1.300e+04,0.000e+00,0.000e+00
vis,A101,ICAdistalcnt.chor.–M1seg.,n44,n43,3.177e-03,3.177e-03,3.451e-04,3.451e-04,1.621e-03,5,1.624e+06,2.179e+06,1.300e+04,0.000e+00,0.000e+00
vis,A103,ICAdistalcnt.chor.–M1seg.,n39,n40,3.177e-03,3.177e-03,3.451e-04,3.451e-04,1.621e-03,5,1.624e+06,2.179e+06,1.300e+04,0.000e+00,0.000e+00

type,ID,name,valami,parameter,file name
heart,H,0,P,
node,n1,0,4.270e+10
node,n2,0,4.270e+10
node,n3,0,4.270e+10
node,n4,0,4.270e+10
node,n5,0,4.270e+10
node,n6,0,2.749e+11
node,n7,0,2.749e+11
node,n8,0,2.749e+11
node,n9,0,2.749e+11
node,n10,0,2.749e+11
node,n11,0,2.749e+11
node,n12,0,2.749e+11
node,n13,0,1.731e+11
node,n14,0,3.452e+11
node,n15,0,3.452e+11
node,n16,0,3.452e+11
node,n17,0,3.452e+11
node,n18,0,3.452e+11
node,n19,0,3.452e+11
node,n20,0,1.731e+11
node,n21,0,1.731e+11
node,n22,0,1.731e+11
node,n23,0,1.731e+11
node,n24,0,1.731e+11
node,n25,0,1.731e+11
node,n26,0,2.203e+11
node,n27,0,2.203e+11
node,n28,0,2.203e+11
node,n29,0,2.203e+11
node,n30,0,2.203e+11
node,n31,0,2.203e+11
perif,n32,0,
node,n36,0,2.203e+11
node,n37,0,2.203e+11
node,n38,0,2.203e+11
node,n39,0,2.203e+11
node,n40,0,2.203e+11
node,n41,0,2.203e+11
node,n42,0,2.203e+11
node,n43,0,2.203e+11
node,n44,0,2.203e+11
node,n45,0,2.203e+11
node,n46,0,2.203e+11
node,n47,0,2.203e+11
node,n48,0,2.203e+11
node,n49,0,2.203e+11
node,n50,0,2.203e+11
node,n51,0,1.731e+11
node,n52,0,1.731e+11
perif,p4,0
perif,p5,0
perif,p6,0
perif,p7,0
perif,p8,0
perif,p9,0
perif,p10,0
perif,p11,0
perif,p12,0
perif,p13,0
perif,p14,0
perif,p15,0
perif,p16,0
perif,p17,0
perif,p18,0
perif,p19,0
perif,p20,0
perif,p21,0
perif,p22,0
perif,p23,0
perif,p24,0
perif,p25,0
perif,p26,0
perif,p27,0
perif,p28,0
perif,p29,0
perif,p30,0
perif,p31,0
perif,p32,0
perif,p33,0
perif,p34,0
perif,p35,0
perif,p36,0
perif,p37,0
perif,p38,0
perif,p39,0
perif,p40,0
perif,p45,0
perif,p46,0
perif,p47,0

