data of edges,,,,,,,
type, name, node start, node end, initial condition [SI], parameter [SI],Emin ,Emax
resistor,RCC,PCC,PVC,0.00E+00,1.33E+07,,
capacitor,CVC,G,PVC,0.00E+00,4.50E-08,,
resistor,RVC,PVC,PVS,0.00E+00,1.33E+07,,
resistor,RL,PLOA,PLMCA,0.00E+00,2.39E+06,,
capacitor,CLMCA,G,PLMCA,0.00E+00,7.50E-12,,
resistor,RLMCA,PLMCA,PPC,0.00E+00,1.19E+09,,
resistor,RLACA1,PLMCA,PLACA2,0.00E+00,1.30E+09,,
capacitor,CLACA2,G,PLACA2,0.00E+00,7.50E-12,,
resistor,RLACA2,PLACA2,PPC,0.00E+00,5.57E+08,,
resistor,RLACHA,PLMCA,PPC,0.00E+00,5.19E+09,,
resistor,RLVA,PAA,LVA,0.00E+00,6.67E+08,,
inductor,LLVA,LVA,PBA,0.00E+00,1.33E+04,,
capacitor,CBA,G,PBA,0.00E+00,7.50E-12,,
resistor,RBA,PBA,PPCA,0.00E+00,8.63E+08,,
capacitor,CPCA,G,PPCA,0.00E+00,7.50E-12,,
resistor,RRVA,PAA,RVA,0.00E+00,6.67E+08,,
inductor,LRVA,RVA,PBA,0.00E+00,1.33E+04,,
resistor,RLSCA,PPCA,PPC,0.00E+00,9.53E+08,,
resistor,RRSCA,PPCA,PPC,0.00E+00,9.53E+08,,
resistor,RLPCA1,PPCA,PLPCA2,0.00E+00,1.10E+08,,
resistor,RLPCOA,PLPCA2,PLMCA,0.00E+00,4.29E+10,,
capacitor,CLPCA2,G,PLPCA2,0.00E+00,7.50E-12,,
resistor,RLPCA2,PLPCA2,PPC,0.00E+00,1.10E+08,,
resistor,RRPCA1,PPCA,PRPCA2,0.00E+00,1.10E+08,,
capacitor,CRPCA2,G,PRPCA2,0.00E+00,7.50E-12,,
resistor,RPCA2,PRPCA2,PPC,0.00E+00,5.17E+08,,
resistor,RRPCOA,PRPCA2,PRMCA,0.00E+00,4.29E+10,,
resistor,RRICA,PAA,RICA,0.00E+00,2.32E+08,,
inductor,LRICA,RICA,PROA,0.00E+00,1.33E+04,,
capacitor,CROA,G,PROA,0.00E+00,9.37E-07,,
resistor,RR,PROA,PRMCA,0.00E+00,2.39E+06,,
resistor,RRACHA,PRMCA,PPC,0.00E+00,5.19E+09,,
capacitor,CRMCA,G,PRMCA,0.00E+00,7.50E-12,,
resistor,RACA1,PRMCA,PRACA2,0.00E+00,1.30E+09,,
resistor,RRMCA,PRMCA,PPC,0.00E+00,1.19E+09,,
capacitor,CRACA2,G,PRACA2,0.00E+00,7.50E-12,,
resistor,RACOA,PRACA2,PLACA2,0.00E+00,7.14E+09,,
resistor,RRACA2,PRACA2,PPC,0.00E+00,5.57E+08,,
resistor,RROA,PROA,PPC,0.00E+00,1.67E+10,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
data of nodes,,,,,,,
type, name, initial condition [SI],,,,,
node,PVP,1.00E+03,,,,,
node,PLA,1.00E+03,,,,,
node,PLV,1.00E+03,,,,,
node,PAO,1.00E+03,,,,,
node,AO,1.00E+03,,,,,
node,PAA,1.00E+03,,,,,
node,AA,1.00E+03,,,,,
node,PARS,1.00E+03,,,,,
node,ARS,1.00E+03,,,,,
node,PCS,1.00E+03,,,,,
node,PVS,1.00E+03,,,,,
node,PRA,1.00E+03,,,,,
node,PRV,1.00E+03,,,,,
node,PAP,1.00E+03,,,,,
node,AP,1.00E+03,,,,,
node,PARP,1.00E+03,,,,,
node,ARP,1.00E+03,,,,,
node,LICA,1.00E+03,,,,,
node,PLOA,1.00E+03,,,,,
node,LVA,1.00E+03,,,,,
node,PBA,1.00E+03,,,,,
node,RVA,1.00E+03,,,,,
node,PPCA,1.00E+03,,,,,
node,PLPCA2,1.00E+03,,,,,
node,PLMCA,1.00E+03,,,,,
node,PLACA2,1.00E+03,,,,,
node,PRPCA2,1.00E+03,,,,,
node,PRMCA,1.00E+03,,,,,
node,PRACA2,1.00E+03,,,,,
node,RICA,1.00E+03,,,,,
node,PROA,1.00E+03,,,,,
node,PPC,1.00E+03,,,,,
node,PCC,1.00E+03,,,,,
node,PVC,1.00E+03,,,,,
ground,G,0.00E+00,,,,,
ground,G1,0.00E+00,,,,,
ground,G2,0.00E+00,,,,,
ground,G3,0.00E+00,,,,,
ground,G4,0.00E+00,,,,,
ground,G6,0.00E+00,,,,,
